Msec,X,TargX,Y,TargY,Z,TargZ
0,0.04256,0,-0.01104,0,0.99903,1.5
33.344,0.041726,0,-0.010346,0,0.99908,1.5
66.675,0.040406,0,-0.0088106,0,0.99914,1.5
100.01,0.038323,0,-0.0075644,0,0.99924,1.5
133.34,0.039588,0,-0.0091456,0,0.99917,1.5
166.67,0.040365,0,-0.0087869,0,0.99915,1.5
200.01,0.039516,0,-0.0082701,0,0.99918,1.5
233.34,0.040247,0,-0.0071399,0,0.99916,1.5
266.68,0.015298,0,-0.06764,0,0.99759,1.5
300.01,0.015426,0,-0.068976,0,0.9975,1.5
333.35,0.016914,0,-0.06872,0,0.99749,1.5
366.68,0.017423,0,-0.068848,0,0.99748,1.5
400.01,0.017326,0,-0.069216,0,0.99745,1.5
433.34,0.017616,0,-0.069334,0,0.99744,1.5
466.68,0.017558,0,-0.068452,0,0.9975,1.5
500.02,0.016946,0,-0.067917,0,0.99755,1.5
533.35,0.016957,0,-0.066825,0,0.99762,1.5
566.68,0.01755,0,-0.066214,0,0.99765,1.5
600.01,0.016496,0,-0.065939,0,0.99769,1.5
633.34,0.016321,0,-0.067635,0,0.99758,1.5
666.69,0.014937,0,-0.0684,0,0.99755,1.5
700.02,0.013197,0,-0.069221,0,0.99751,1.5
733.35,0.012733,0,-0.070364,0,0.99744,1.5
766.68,0.014323,0,-0.073613,0,0.99718,1.5
800.03,0.014809,0,-0.0734,0,0.99719,1.5
833.36,0.015103,0,-0.074093,0,0.99714,1.5
866.69,0.015379,0,-0.07482,0,0.99708,1.5
900.02,0.014884,0,-0.072209,0,0.99728,1.5
933.35,0.015592,0,-0.070011,0,0.99742,1.5
966.69,0.015643,0,-0.069407,0,0.99747,1.5
1000,0.01534,0,-0.069539,0,0.99746,1.5
1033.4,0.014272,0,-0.069373,0,0.99749,1.5
1066.7,0.013653,0,-0.070618,0,0.99741,1.5
1100,0.012223,0,-0.070371,0,0.99745,1.5
1133.4,0.0127,0,-0.069849,0,0.99748,1.5
1166.7,0.012964,0,-0.070182,0,0.99745,1.5
1200,0.013105,0,-0.069943,0,0.99747,1.5
1233.4,0.013187,0,-0.068589,0,0.99756,1.5
1266.7,0.013364,0,-0.069883,0,0.99747,1.5
1300,0.01341,0,-0.070351,0,0.99743,1.5
1333.4,0.019421,0,-0.071168,0,0.99728,1.5
1366.7,0.021715,0,-0.072906,0,0.9971,1.5
1400,0.024067,0,-0.074369,0,0.99694,1.5
1433.4,0.025039,0,-0.075259,0,0.99685,1.5
1466.7,0.02356,0,-0.076324,0,0.9968,1.5
1500,0.025322,-0.025856,-0.075153,0.23462,0.99685,1.4813
1533.4,0.026123,-0.025856,-0.073721,0.23462,0.99694,1.4813
1566.7,0.027201,-0.025856,-0.074469,0.23462,0.99685,1.4813
1600,0.026839,-0.025856,-0.073527,0.23462,0.99693,1.4813
1633.4,0.027365,-0.025856,-0.071378,0.23462,0.99707,1.4813
1666.7,0.028442,-0.025856,-0.07071,0.23462,0.99709,1.4813
1700,0.029037,-0.025856,-0.070863,0.23462,0.99706,1.4813
1733.4,0.027897,-0.025856,-0.070784,0.23462,0.9971,1.4813
1766.7,0.029574,-0.025856,-0.07257,0.23462,0.99692,1.4813
1800,0.022278,-0.025856,-0.061922,0.23462,0.99783,1.4813
1866.7,0.0011764,-0.025856,0.10306,0.23462,0.99467,1.4813
1900,0.0037941,-0.025856,0.10304,0.23462,0.99467,1.4813
1933.4,0.0052135,-0.025856,0.10236,0.23462,0.99473,1.4813
1966.7,0.006442,-0.025856,0.10184,0.23462,0.99478,1.4813
2000,0.0093337,-0.025856,0.10066,0.23462,0.99488,1.4813
2033.4,0.011027,-0.025856,0.10009,0.23462,0.99492,1.4813
2066.7,0.012218,-0.025856,0.099981,0.23462,0.99491,1.4813
2100,0.0112,-0.025856,0.098753,0.23462,0.99505,1.4813
2133.4,0.011918,-0.025856,0.099362,0.23462,0.99498,1.4813
2166.7,0.011476,-0.025856,0.099266,0.23462,0.99499,1.4813
2200.1,0.01113,-0.025856,0.099399,0.23462,0.99499,1.4813
2233.4,0.011974,-0.025856,0.10013,0.23462,0.9949,1.4813
2266.7,0.011617,-0.025856,0.1,0.23462,0.99492,1.4813
2300,0.011911,-0.025856,0.099095,0.23462,0.99501,1.4813
2333.4,0.013474,-0.025856,0.098146,0.23462,0.99508,1.4813
2366.7,0.014259,-0.025856,0.099093,0.23462,0.99498,1.4813
2400.1,0.014147,-0.025856,0.098746,0.23462,0.99501,1.4813
2433.4,0.014164,-0.025856,0.098531,0.23462,0.99503,1.4813
2466.7,0.012144,-0.025856,0.09887,0.23462,0.99503,1.4813
2500,0.010102,-0.025856,0.09923,0.23462,0.99501,1.4813
2533.4,0.010214,-0.025856,0.099247,0.23462,0.99501,1.4813
2566.7,0.010855,-0.025856,0.098452,0.23462,0.99508,1.4813
2600.1,0.0097058,-0.025856,0.097866,0.23462,0.99515,1.4813
2633.4,0.0088877,-0.025856,0.0968,0.23462,0.99526,1.4813
2666.7,0.0098556,-0.025856,0.096736,0.23462,0.99526,1.4813
2700.1,0.0089263,-0.025856,0.095957,0.23462,0.99535,1.4813
2733.4,0.0083379,-0.025856,0.095592,0.23462,0.99539,1.4813
2766.7,0.0089901,-0.2847,0.095696,-0.15394,0.99537,1.4647
2800.1,0.008459,-0.2847,0.097087,-0.15394,0.99524,1.4647
2833.4,0.0083296,-0.2847,0.097854,-0.15394,0.99517,1.4647
2866.7,0.0086335,-0.2847,0.097375,-0.15394,0.99521,1.4647
2900.1,0.0090874,-0.2847,0.097323,-0.15394,0.99521,1.4647
2933.4,0.0094305,-0.2847,0.097813,-0.15394,0.99516,1.4647
2966.7,-0.072441,-0.2847,-0.014093,-0.15394,0.99727,1.4647
3000.1,-0.18585,-0.2847,-0.18551,-0.15394,0.96491,1.4647
3033.4,-0.18568,-0.2847,-0.18895,-0.15394,0.96427,1.4647
3066.7,-0.18511,-0.2847,-0.19073,-0.15394,0.96403,1.4647
3100.1,-0.1848,-0.2847,-0.19331,-0.15394,0.96358,1.4647
3133.4,-0.18415,-0.2847,-0.19532,-0.15394,0.9633,1.4647
3166.7,-0.18326,-0.2847,-0.1944,-0.15394,0.96365,1.4647
3200.1,-0.18872,-0.2847,-0.19322,-0.15394,0.96283,1.4647
3233.4,-0.19386,-0.2847,-0.19098,-0.15394,0.96226,1.4647
3266.7,-0.19726,-0.2847,-0.19033,-0.15394,0.9617,1.4647
3300.1,-0.20018,-0.2847,-0.19028,-0.15394,0.9611,1.4647
3333.4,-0.20148,-0.2847,-0.1915,-0.15394,0.96059,1.4647
3366.7,-0.2009,-0.2847,-0.19266,-0.15394,0.96048,1.4647
3400.1,-0.19842,-0.2847,-0.19308,-0.15394,0.96091,1.4647
3433.4,-0.19803,-0.2847,-0.19192,-0.15394,0.96122,1.4647
3466.7,-0.19864,-0.2847,-0.1908,-0.15394,0.96132,1.4647
3500.1,-0.1979,-0.2847,-0.1902,-0.15394,0.96159,1.4647
3533.4,-0.1973,-0.2847,-0.19043,-0.15394,0.96167,1.4647
3566.7,-0.19652,-0.2847,-0.1902,-0.15394,0.96187,1.4647
3600.1,-0.19763,-0.2847,-0.1885,-0.15394,0.96198,1.4647
3633.4,-0.19786,-0.2847,-0.18647,-0.15394,0.96233,1.4647
3666.7,-0.19802,-0.2847,-0.18513,-0.15394,0.96256,1.4647
3700.1,-0.19503,-0.2847,-0.18551,-0.15394,0.96309,1.4647
3733.4,-0.19392,-0.2847,-0.18692,-0.15394,0.96305,1.4647
3766.7,-0.19334,-0.2847,-0.18597,-0.15394,0.96335,1.4647
3800.1,-0.19225,-0.2847,-0.18617,-0.15394,0.96353,1.4647
3833.4,-0.19492,-0.2847,-0.18503,-0.15394,0.96321,1.4647
3866.7,-0.19338,-0.2847,-0.18301,-0.15394,0.96391,1.4647
3900.1,-0.19343,-0.28605,-0.18232,0.051389,0.96403,1.4716
3933.4,-0.19443,-0.28605,-0.18202,0.051389,0.96388,1.4716
3966.7,-0.19485,-0.28605,-0.18506,0.051389,0.96322,1.4716
4000.1,-0.19492,-0.28605,-0.18288,0.051389,0.96362,1.4716
4033.4,-0.19555,-0.28605,-0.18094,0.051389,0.96386,1.4716
4066.8,-0.19572,-0.28605,-0.18104,0.051389,0.9638,1.4716
4100.1,-0.19694,-0.28605,-0.18212,0.051389,0.96335,1.4716
4133.4,-0.18229,-0.28605,-0.10536,0.051389,0.97758,1.4716
4166.7,-0.18878,-0.28605,-0.091694,0.051389,0.97773,1.4716
4200.1,-0.18998,-0.28605,-0.082387,0.051389,0.97833,1.4716
4233.4,-0.19119,-0.28605,-0.075341,0.051389,0.97866,1.4716
4266.8,-0.19234,-0.28605,-0.07049,0.051389,0.97879,1.4716
4300.1,-0.19439,-0.28605,-0.063844,0.051389,0.97884,1.4716
4333.4,-0.19456,-0.28605,-0.055348,0.051389,0.97933,1.4716
4366.8,-0.19353,-0.28605,-0.048466,0.051389,0.9799,1.4716
4400.1,-0.19287,-0.28605,-0.043497,0.051389,0.98026,1.4716
4433.4,-0.1939,-0.28605,-0.040462,0.051389,0.98019,1.4716
4466.8,-0.1936,-0.28605,-0.039005,0.051389,0.9803,1.4716
4500.1,-0.19294,-0.28605,-0.038536,0.051389,0.98045,1.4716
4533.4,-0.19086,-0.28605,-0.037047,0.051389,0.98092,1.4716
4566.8,-0.19154,-0.28605,-0.035766,0.051389,0.98083,1.4716
4600.1,-0.18987,-0.28605,-0.035117,0.051389,0.98118,1.4716
4633.4,-0.18719,-0.28605,-0.035687,0.051389,0.98167,1.4716
4666.8,-0.18927,-0.28605,-0.034699,0.051389,0.98131,1.4716
4700.1,-0.19164,-0.28605,-0.034463,0.051389,0.98086,1.4716
4733.4,-0.1915,-0.28605,-0.034785,0.051389,0.98088,1.4716
4766.8,-0.19242,-0.28605,-0.036676,0.051389,0.98063,1.4716
4800.1,-0.19366,-0.28605,-0.036947,0.051389,0.98037,1.4716
4833.4,-0.19429,-0.28605,-0.034349,0.051389,0.98034,1.4716
4866.8,-0.19213,-0.28605,-0.032753,0.051389,0.98082,1.4716
4900.1,-0.19357,-0.28605,-0.032224,0.051389,0.98056,1.4716
4933.4,-0.19519,-0.28605,-0.03231,0.051389,0.98023,1.4716
